date,published_at,symbol,source,title,summary,url,query_keyword,text,finbert_label,sentiment_score,language,source_type,crawl_version
2024-05-24,2024-05-24T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News",Ping An Bank’s “Pocket Manager” recognised as Best Business Ecosystem Initiative - The Asian Banker,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPZmo3WE5zdlNIRDkza3VNeExwYV93cEFtb0N6U1d0YWJZTjMxbGtYd0FBNzVxVWU1Vmg5TV84V1FZRTE5RVV4QUFiVkVoeXY1ZWdnRDlWcmxLNGpmbmhPTmRRQl91NXVqSlZvR19taXJNQnJROXZOLXJfNk80QmlSNmg4ZGxsbDRTZUVEbGNjTzJkOEdLVkkySHQyMW5GYlhQZWJGRHVveDEyWjVfOGNOcXpjcWVhV1E2?oc=5"" target=""_blank"">Ping An Bank’s “Pocket Manager” recognised as Best Business Ecosystem Initiative</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Asian Banker</font>",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPZmo3WE5zdlNIRDkza3VNeExwYV93cEFtb0N6U1d0YWJZTjMxbGtYd0FBNzVxVWU1Vmg5TV84V1FZRTE5RVV4QUFiVkVoeXY1ZWdnRDlWcmxLNGpmbmhPTmRRQl91NXVqSlZvR19taXJNQnJROXZOLXJfNk80QmlSNmg4ZGxsbDRTZUVEbGNjTzJkOEdLVkkySHQyMW5GYlhQZWJGRHVveDEyWjVfOGNOcXpjcWVhV1E2?oc=5,Ping An Bank,Ping An Bank’s “Pocket Manager” recognised as Best Business Ecosystem Initiative - The Asian Banker. Ping An Bank’s “Pocket Manager” recognised as Best Business Ecosystem Initiative The Asian Banker,positive,0.7664627,en,bootstrap,mixed_real_news_v6
2024-07-09,2024-07-09T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News","Ping An Bank to Move Shanghai Staff to Shenzhen, Insider Confirms - Yicai Global","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxObzhEYmZuV1ZDbEpVbDROeEJlWnVvLWdCLTFmeTFoQnluWjJKcjMzbnVzVkhzQmVia3RDNnhQaEZHVkN5RkRrbWpVZzEtWmtTZ0Z1aFVTTHhXVzhFWThrSU12eWtPLVFKcE15M0VsRXVsWllCdmhTWGNGWFhTVVoyMGhkYzhvR1pCQzlVbnNjOTc4MENDVFFiTWhIeWh3N0R0RlMya2lWWHcwQQ?oc=5"" target=""_blank"">Ping An Bank to Move Shanghai Staff to Shenzhen, Insider Confirms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yicai Global</font>",https://news.google.com/rss/articles/CBMiqgFBVV95cUxObzhEYmZuV1ZDbEpVbDROeEJlWnVvLWdCLTFmeTFoQnluWjJKcjMzbnVzVkhzQmVia3RDNnhQaEZHVkN5RkRrbWpVZzEtWmtTZ0Z1aFVTTHhXVzhFWThrSU12eWtPLVFKcE15M0VsRXVsWllCdmhTWGNGWFhTVVoyMGhkYzhvR1pCQzlVbnNjOTc4MENDVFFiTWhIeWh3N0R0RlMya2lWWHcwQQ?oc=5,Ping An Bank,"Ping An Bank to Move Shanghai Staff to Shenzhen, Insider Confirms - Yicai Global. Ping An Bank to Move Shanghai Staff to Shenzhen, Insider Confirms Yicai Global",positive,0.44720367,en,bootstrap,mixed_real_news_v6
2024-11-29,2024-11-29T01:04:54+00:00,000001.SZ,"""000001"" - Google News","Ping An Bank (000001) Investor Relations, Earnings Summary & Outlook - Quartr","<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTFBEdmM0T196Y2RfeXhjNWdoZnpwdEQ2RHJiMGdSbmFVeWU3dEJSbEh1dm9mSXlaMGRPWDlMcjBmYmRkRS1aZXZwMzlNNm9rWVlnRkRhNTJ5aHFDR3RndU50dXFDOEM?oc=5"" target=""_blank"">Ping An Bank (000001) Investor Relations, Earnings Summary & Outlook</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Quartr</font>",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBEdmM0T196Y2RfeXhjNWdoZnpwdEQ2RHJiMGdSbmFVeWU3dEJSbEh1dm9mSXlaMGRPWDlMcjBmYmRkRS1aZXZwMzlNNm9rWVlnRkRhNTJ5aHFDR3RndU50dXFDOEM?oc=5,000001,"Ping An Bank (000001) Investor Relations, Earnings Summary & Outlook - Quartr. Ping An Bank (000001) Investor Relations, Earnings Summary & Outlook Quartr",neutral,-0.0005756505,en,bootstrap,mixed_real_news_v6
2024-12-20,2024-12-20T10:53:28+00:00,000001.SZ,"""Ping An Bank"" - Google News",Ping An Bank structured products offering increases despite deposit curb - SRP Structured Products,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNb3Nfb18zakRKWXBhbkJxZUtMX1NPbUVmeGtqODR4QmNwZ2EyWlA1UDJ1ZEExMjlQQmZDVkhyTHhxTHZXZEFuTVVDZVFmS1gwemc0UXZUUkx1YVN3TGM1YjRjcW5ycXJnazB4U24wWWExcndTa1NtQ2pSMjZJVjB1bVR0dkc4NEM4bzF5Y0hPUGxrdkV6RmZNcWFLb2RhY2M5dXV4NEN4bnBRUEJCcklTcFlFd25nUlpvZDBYLW1DZWg3bWVrdThR?oc=5"" target=""_blank"">Ping An Bank structured products offering increases despite deposit curb</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SRP Structured Products</font>",https://news.google.com/rss/articles/CBMixwFBVV95cUxNb3Nfb18zakRKWXBhbkJxZUtMX1NPbUVmeGtqODR4QmNwZ2EyWlA1UDJ1ZEExMjlQQmZDVkhyTHhxTHZXZEFuTVVDZVFmS1gwemc0UXZUUkx1YVN3TGM1YjRjcW5ycXJnazB4U24wWWExcndTa1NtQ2pSMjZJVjB1bVR0dkc4NEM4bzF5Y0hPUGxrdkV6RmZNcWFLb2RhY2M5dXV4NEN4bnBRUEJCcklTcFlFd25nUlpvZDBYLW1DZWg3bWVrdThR?oc=5,Ping An Bank,Ping An Bank structured products offering increases despite deposit curb - SRP Structured Products. Ping An Bank structured products offering increases despite deposit curb SRP Structured Products,positive,0.7585414,en,bootstrap,mixed_real_news_v6
2025-05-06,2025-05-06T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News","Ping An Bank Co., Ltd.'s (SZSE:000001) Largest Shareholders Are Public Companies With 58% Ownership, Individual Investors Own 34% - Moomoo","<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxOZlgzT3EteHlUeHBuZC00VTdiNkdNWjltREh6U29INkpBRTZtMFI5SGhLeWRWTG5pdjVDVWxjME1zVTZLcWE0M29SdEQ3TU5BUzZ5VTVFRTVsQ2NTSGwyUzVsWVIwU2tVbmRnNmZCTm9CanBtejVrek04bDZpb011c0g0NnV4akZmU2dmZF9vNkhGSEdBdEtObExial8?oc=5"" target=""_blank"">Ping An Bank Co., Ltd.'s (SZSE:000001) Largest Shareholders Are Public Companies With 58% Ownership, Individual Investors Own 34%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moomoo</font>",https://news.google.com/rss/articles/CBMinAFBVV95cUxOZlgzT3EteHlUeHBuZC00VTdiNkdNWjltREh6U29INkpBRTZtMFI5SGhLeWRWTG5pdjVDVWxjME1zVTZLcWE0M29SdEQ3TU5BUzZ5VTVFRTVsQ2NTSGwyUzVsWVIwU2tVbmRnNmZCTm9CanBtejVrek04bDZpb011c0g0NnV4akZmU2dmZF9vNkhGSEdBdEtObExial8?oc=5,Ping An Bank,"Ping An Bank Co., Ltd.'s (SZSE:000001) Largest Shareholders Are Public Companies With 58% Ownership, Individual Investors Own 34% - Moomoo. Ping An Bank Co., Ltd.'s (SZSE:000001) Largest Shareholders Are Public Companies With 58% Ownership, Individual Investors Own 34% Moomoo",neutral,0.0023216438,en,bootstrap,mixed_real_news_v6
2025-06-10,2025-06-10T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News",Labubu becomes bait for China’s Ping An Bank to lure young customers - South China Morning Post,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNdWItcXJmWWdLNFBRdGp1cW1MdzFGZ1J3dEYtbUFVMDF3eHdmSDFLYVAxVllCR0htY0hRSHZBSkgyeVVnWkpEY04yR2FHZUxaMzdYU2ptVnE4ME1vcEY4UUdLcmZKbUk0bG5nbjlpNUJBZ1dNcW1wNG5pOFFvMUQ2WTRQNjlfcWx3cW5yakNyZ1FIeEhKanRBdnRSYlFBd0loVkdTVFY5MUNjSDNzb3lqWlVraFY3WXJpVC1DdUFEZk91NzRiN2RiddIByAFBVV95cUxNaGpzU0J1ZzBteUl2ZnZYSzB2WGVSQ1hwc21aQlJsRzBVZHhicFRmNTJSMjZMV1VBRk5FZlltc2lzcXI1YzB4NEVpUEpQYlkyZTRWME9zMHJ6elBmX0pDSURYU3RZUl9MYzBjbUY4cnFWWF8ybmpsRjlzRmk4UTMwdWlEVm5RMjI0bXgzMU14MjdYd1pJdmFDMzBHekdBNU9fVEYwQVRabkFnaXRBWC1icEkxSEpxT2dLblpINElsZXlFUmZnVDluaA?oc=5"" target=""_blank"">Labubu becomes bait for China’s Ping An Bank to lure young customers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South China Morning Post</font>",https://news.google.com/rss/articles/CBMiyAFBVV95cUxNdWItcXJmWWdLNFBRdGp1cW1MdzFGZ1J3dEYtbUFVMDF3eHdmSDFLYVAxVllCR0htY0hRSHZBSkgyeVVnWkpEY04yR2FHZUxaMzdYU2ptVnE4ME1vcEY4UUdLcmZKbUk0bG5nbjlpNUJBZ1dNcW1wNG5pOFFvMUQ2WTRQNjlfcWx3cW5yakNyZ1FIeEhKanRBdnRSYlFBd0loVkdTVFY5MUNjSDNzb3lqWlVraFY3WXJpVC1DdUFEZk91NzRiN2RiddIByAFBVV95cUxNaGpzU0J1ZzBteUl2ZnZYSzB2WGVSQ1hwc21aQlJsRzBVZHhicFRmNTJSMjZMV1VBRk5FZlltc2lzcXI1YzB4NEVpUEpQYlkyZTRWME9zMHJ6elBmX0pDSURYU3RZUl9MYzBjbUY4cnFWWF8ybmpsRjlzRmk4UTMwdWlEVm5RMjI0bXgzMU14MjdYd1pJdmFDMzBHekdBNU9fVEYwQVRabkFnaXRBWC1icEkxSEpxT2dLblpINElsZXlFUmZnVDluaA?oc=5,Ping An Bank,Labubu becomes bait for China’s Ping An Bank to lure young customers - South China Morning Post. Labubu becomes bait for China’s Ping An Bank to lure young customers South China Morning Post,neutral,0.12196836,en,bootstrap,mixed_real_news_v6
2025-06-18,2025-06-18T17:00:00+00:00,000001.SZ,Ping An Bank - Bing新聞,000001K線圖型態,獲得Ping An Bank Co Ltd股票所有相關的牛熊即時K線圖形態，以此推測市場走勢。平安銀行股票形態可以依不同時間段顯示，以因應長、短線的投資所需。利用我們的自動形態辨認功能，一窺市場 ...,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=69fb168ec8e541c580ef517b48ae6d2d&url=https%3a%2f%2fhk.investing.com%2fequities%2fping-an-bank-a-candlestick&c=18296679046494041829&mkt=zh-tw,Ping An Bank,000001K線圖型態. 獲得Ping An Bank Co Ltd股票所有相關的牛熊即時K線圖形態，以此推測市場走勢。平安銀行股票形態可以依不同時間段顯示，以因應長、短線的投資所需。利用我們的自動形態辨認功能，一窺市場 ...,neutral,0.03837692,zh,bootstrap,mixed_real_news_v6
2025-06-25,2025-06-25T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News",Ping An Bank to maintain moderate profitability: Moody’s - Asian Banking & Finance,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNZ2h1N2tHalp5WmtuZWpBXzRmUk1TNGtyNlR4U2lHNTNGdDVDelBxYVc0LTNPZS1Kc2JzWW82SW9jeW9kbWk3LUFCbnJfa0dRWm9DZWZjaTR5UEtoSlJpbVc1UWlHRXhWRTZvaC1RTFQtbFMxWFFERWs5SFprRGxQR056R3dQQzBkNjNKQXhETE40UzZNaHZWdUEtdUl3bXBpUTRyTTZB?oc=5"" target=""_blank"">Ping An Bank to maintain moderate profitability: Moody’s</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asian Banking & Finance</font>",https://news.google.com/rss/articles/CBMipgFBVV95cUxNZ2h1N2tHalp5WmtuZWpBXzRmUk1TNGtyNlR4U2lHNTNGdDVDelBxYVc0LTNPZS1Kc2JzWW82SW9jeW9kbWk3LUFCbnJfa0dRWm9DZWZjaTR5UEtoSlJpbVc1UWlHRXhWRTZvaC1RTFQtbFMxWFFERWs5SFprRGxQR056R3dQQzBkNjNKQXhETE40UzZNaHZWdUEtdUl3bXBpUTRyTTZB?oc=5,Ping An Bank,Ping An Bank to maintain moderate profitability: Moody’s - Asian Banking & Finance. Ping An Bank to maintain moderate profitability: Moody’s Asian Banking & Finance,neutral,0.079691336,en,bootstrap,mixed_real_news_v6
2025-07-09,2025-07-09T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News",Ping An Bank wins Best Trade Finance Bank in China for leveraging technology to upgrade supply chain finance - The Asian Banker,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPMkdNU1VNLVU1ajdVZVFSWUlnTUxvQXktbkNDMUI1dzBlOFhySnFJWVpmbGNiNWx6cnQ5MVo2UWJrU3o2Z3psLTQySy1GT0dhNUJNdUoyckh6cm1pT1pUYzk3SzJndmJDeG9jV1ljdVFTVDlFNGp5VEpSbHYwYWltbzlwaEdvakxSZFhUa3RiMm5PQlZpRjlIbVhvRHYyM2hONHNMd2dYdFVpVnVJbld4bkZ2RGVvMjl3SEVoM3BHMGx0Y3hpQm95ZmNyMUN6RU5GX2o2bTI5cUN3X0E0Rm9PLQ?oc=5"" target=""_blank"">Ping An Bank wins Best Trade Finance Bank in China for leveraging technology to upgrade supply chain finance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Asian Banker</font>",https://news.google.com/rss/articles/CBMi4AFBVV95cUxPMkdNU1VNLVU1ajdVZVFSWUlnTUxvQXktbkNDMUI1dzBlOFhySnFJWVpmbGNiNWx6cnQ5MVo2UWJrU3o2Z3psLTQySy1GT0dhNUJNdUoyckh6cm1pT1pUYzk3SzJndmJDeG9jV1ljdVFTVDlFNGp5VEpSbHYwYWltbzlwaEdvakxSZFhUa3RiMm5PQlZpRjlIbVhvRHYyM2hONHNMd2dYdFVpVnVJbld4bkZ2RGVvMjl3SEVoM3BHMGx0Y3hpQm95ZmNyMUN6RU5GX2o2bTI5cUN3X0E0Rm9PLQ?oc=5,Ping An Bank,Ping An Bank wins Best Trade Finance Bank in China for leveraging technology to upgrade supply chain finance - The Asian Banker. Ping An Bank wins Best Trade Finance Bank in China for leveraging technology to upgrade supply chain finance The Asian Banker,positive,0.9120947,en,bootstrap,mixed_real_news_v6
2025-07-09,2025-07-09T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News",Ping An Bank awarded Best AI/Gen AI Application in Retail Marketing Initiative in Asia Pacific for groundbreaking achievements in AI-driven content marketing - The Asian Banker,"<a href=""https://news.google.com/rss/articles/CBMingJBVV95cUxQVGt0SWs5SGJROVpUYW4tZVdROVRSZFZpTGdnRktRbXVyanNPdjFWcHgtNDlzRE9BeUpSY05IX0NNcm9Uem5Ydjh4dTlic3lVRmhvQ1FvdHRLbEdSanBRSUNzQ0hld3FSTXBIeE5xVUN5SjJuZ0JYUW5WV0RhaXBTQ0s4ek8zYS0yeEVfRWU0T3l2cmJwNEFwYXM3X1Y2ZFNaQ0U0LWNoSmxXRzJqNTF5VnUwbUt4ZnpsbXZNLVNmalpkb1o5YVlITElsNVNGZmJhTXF0d0xvdmJIdmJXa0ZtME1YTllZam1pQzc0bTRWMUtzS2FGbW9zLTFEeWVqZl81QnFqVnQ0YVp0Zm5VeFVHbHhJN1RHUThUSzZJc2xB?oc=5"" target=""_blank"">Ping An Bank awarded Best AI/Gen AI Application in Retail Marketing Initiative in Asia Pacific for groundbreaking achievements in AI-driven content marketing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Asian Banker</font>",https://news.google.com/rss/articles/CBMingJBVV95cUxQVGt0SWs5SGJROVpUYW4tZVdROVRSZFZpTGdnRktRbXVyanNPdjFWcHgtNDlzRE9BeUpSY05IX0NNcm9Uem5Ydjh4dTlic3lVRmhvQ1FvdHRLbEdSanBRSUNzQ0hld3FSTXBIeE5xVUN5SjJuZ0JYUW5WV0RhaXBTQ0s4ek8zYS0yeEVfRWU0T3l2cmJwNEFwYXM3X1Y2ZFNaQ0U0LWNoSmxXRzJqNTF5VnUwbUt4ZnpsbXZNLVNmalpkb1o5YVlITElsNVNGZmJhTXF0d0xvdmJIdmJXa0ZtME1YTllZam1pQzc0bTRWMUtzS2FGbW9zLTFEeWVqZl81QnFqVnQ0YVp0Zm5VeFVHbHhJN1RHUThUSzZJc2xB?oc=5,Ping An Bank,Ping An Bank awarded Best AI/Gen AI Application in Retail Marketing Initiative in Asia Pacific for groundbreaking achievements in AI-driven content marketing - The Asian Banker. Ping An Bank awarded Best AI/Gen AI Application in Retail Marketing Initiative in Asia Pacific for groundbreaking achievements in AI-driven content marketing The Asian Banker,positive,0.9183142,en,bootstrap,mixed_real_news_v6
