symbol,date,sentiment_score,news_count,english_news,chinese_news
000001.SZ,2024-05-24,0.7664626836776733,1,1,0
000001.SZ,2024-07-09,0.447203665971756,1,1,0
000001.SZ,2024-11-29,-0.0005756504833698273,1,1,0
000001.SZ,2024-12-20,0.7585414052009583,1,1,0
000001.SZ,2025-05-06,0.0023216363042593002,1,1,0
000001.SZ,2025-06-10,0.1219683587551117,1,1,0
000001.SZ,2025-06-18,1.0,1,0,0
000001.SZ,2025-06-25,0.0796913355588913,1,1,0
000001.SZ,2025-07-09,0.917556643486023,3,3,0
000001.SZ,2025-08-27,-0.8966484069824219,1,1,0
000001.SZ,2025-10-11,1.0,1,0,0
000001.SZ,2025-10-24,0.20431943255521,3,1,0
000001.SZ,2025-10-26,0.0,1,0,0
000001.SZ,2025-12-18,1.0,1,0,0
000001.SZ,2025-12-30,1.0,1,0,0
000001.SZ,2026-02-11,0.0,1,0,0
000001.SZ,2026-02-15,-0.040111638605594635,1,1,0
000001.SZ,2026-03-11,-0.24127688010533652,2,1,0
000001.SZ,2026-03-13,1.0,1,0,0
000001.SZ,2026-03-16,1.0,1,0,0
000001.SZ,2026-03-20,-0.2009208636979262,2,1,0
000001.SZ,2026-03-21,1.0,2,0,0
000001.SZ,2026-03-23,0.726878792589361,11,1,0
000001.SZ,2026-03-24,1.0,4,0,0
000001.SZ,2026-03-25,1.0,2,0,0
000001.SZ,2026-03-26,-0.5,2,0,0
000001.SZ,2026-03-27,1.0,2,0,0
000001.SZ,2026-04-01,1.0,1,0,0
000001.SZ,2026-04-07,0.0,1,0,0
000001.SZ,2026-04-11,1.0,1,0,0
000001.SZ,2026-04-14,0.9138607382774353,1,1,0
000001.SZ,2026-04-15,1.0,1,0,0
000001.SZ,2026-04-17,1.0,3,0,0
000001.SZ,2026-04-20,0.025,8,0,0
000001.SZ,2026-04-21,0.4666666666666667,4,0,0
000001.SZ,2026-04-22,0.6666666666666666,2,0,0
000001.SZ,2026-04-23,-0.080284982919693,1,1,0
000001.SZ,2026-04-24,0.718478101293246,25,6,0
000001.SZ,2026-04-25,0.6666666666666666,3,0,0
000001.SZ,2026-04-26,0.9059796929359436,3,3,0
000001.SZ,2026-04-27,0.836837421964716,9,1,0
000001.SZ,2026-04-28,0.41057139823296357,9,3,0
000001.SZ,2026-04-29,0.5654212160346409,4,2,0
000001.SZ,2026-04-30,0.8666666666666666,5,0,0
000001.SZ,2026-05-01,1.0,2,0,0
000001.SZ,2026-05-02,1.0,1,0,0
000001.SZ,2026-05-03,1.0,5,0,0
000001.SZ,2026-05-04,1.0,1,0,0
000001.SZ,2026-05-05,0.7272727272727273,2,0,0
000001.SZ,2026-05-06,0.6222222222222222,3,0,0
600036.SH,2024-08-21,-0.7600816488265991,1,1,0
600036.SH,2024-11-04,0.0,1,0,0
600036.SH,2025-03-03,0.0,1,0,0
600036.SH,2025-03-31,-0.00963398814201355,1,1,0
600036.SH,2025-06-16,0.0,1,0,0
600036.SH,2025-06-27,0.0,1,0,0
600036.SH,2025-06-28,0.0,1,0,0
600036.SH,2025-06-29,0.025349369272589684,1,1,0
600036.SH,2025-07-02,0.008772116154432297,1,1,0
600036.SH,2025-07-03,0.012545015662908554,1,1,0
600036.SH,2025-07-05,0.0,1,0,0
600036.SH,2025-07-08,0.9219542741775513,1,1,0
600036.SH,2025-07-09,0.8629334767659506,3,3,0
600036.SH,2025-07-14,1.0,1,0,0
600036.SH,2025-07-15,0.10316696017980576,1,1,0
600036.SH,2025-07-16,0.03100329451262951,1,1,0
600036.SH,2025-07-17,0.19165532290935516,1,1,0
600036.SH,2025-07-18,0.08433638513088226,1,1,0
600036.SH,2025-07-22,0.0,1,0,0
600036.SH,2025-07-29,0.028654642403125763,1,1,0
600036.SH,2025-08-17,0.022626463323831558,1,1,0
600036.SH,2025-08-18,0.015696287155151367,1,1,0
600036.SH,2025-09-01,-0.3333333333333333,1,0,0
600036.SH,2025-09-03,0.26967889070510864,1,1,0
600036.SH,2025-09-08,1.0,1,0,0
600036.SH,2025-09-19,1.0,1,0,0
600036.SH,2025-09-27,-0.9204601049423218,1,1,0
600036.SH,2025-10-09,0.0,1,0,0
600036.SH,2025-10-15,0.04597150534391403,1,1,0
600036.SH,2025-11-21,0.5814563035964966,1,1,0
600036.SH,2025-11-24,0.11126758903265,2,1,0
600036.SH,2025-12-04,0.0,1,0,0
