date,published_at,symbol,source,title,summary,url,query_keyword,text,finbert_label,sentiment_score
2024-05-10,2024-05-10T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News",China’s Ping An sells US$50 million in HSBC shares after protest vote - South China Morning Post,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxNSUd4YkdGWm91QVJWM0xULU90OFBWd2p0UDVuU1BLanNzQ1RmNVQycnhiOEo2WGRsVkxaajNVeXdOTVRyUFY0WFRPTGpFR2dhcVplUGpzMUV4Ty16dThleTdoYUJMZlVpLUFGTUJfZjd5NmZZRV9oYVoyaWUxVXBuWV9Zc0FGRGs1VDFPYzVGMWNOSU9WMV9qRFBGSll2Q3RoWmlEcDFud1Y4WG5zWk1yM0ZONWdvWFpHdW9TTHcxVVNuS2hiTWlQNVEwcFZfX01RLUpkRXNlcENGcDJFSm5uOG8wNVYwbjRFbGF2V3hR0gHuAUFVX3lxTE5iREZ3aTVPT0xmQVNGNjZQTjhpZldGcEMwa2VjRnZjNVpOeWdmZHRwYUs0QlhtVWlObGFnYXRTWXBrQmkzNUo5QURuc01wOTFOVlVFenEwV3BwQm1Ud0d5YXF4cGNKMHh2ZDZ1SkY4S0JaVzBuS1F5ZndDZTBjR0hIOUZaRFVSMC1CNWsybWY3dHJOakJ4WFFvcGFhM3FaMzduSC1DLWQ3bDlrVlVTM29CMUdtYThWRHFoWHpQWGFVaDNWUFNyQ0tEYTdKbi1Id284MmU5UkYtbURxd0ZNZWN5VHZZR1kwanB1dWRCbGc?oc=5"" target=""_blank"">China’s Ping An sells US$50 million in HSBC shares after protest vote</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South China Morning Post</font>",https://news.google.com/rss/articles/CBMi7gFBVV95cUxNSUd4YkdGWm91QVJWM0xULU90OFBWd2p0UDVuU1BLanNzQ1RmNVQycnhiOEo2WGRsVkxaajNVeXdOTVRyUFY0WFRPTGpFR2dhcVplUGpzMUV4Ty16dThleTdoYUJMZlVpLUFGTUJfZjd5NmZZRV9oYVoyaWUxVXBuWV9Zc0FGRGs1VDFPYzVGMWNOSU9WMV9qRFBGSll2Q3RoWmlEcDFud1Y4WG5zWk1yM0ZONWdvWFpHdW9TTHcxVVNuS2hiTWlQNVEwcFZfX01RLUpkRXNlcENGcDJFSm5uOG8wNVYwbjRFbGF2V3hR0gHuAUFVX3lxTE5iREZ3aTVPT0xmQVNGNjZQTjhpZldGcEMwa2VjRnZjNVpOeWdmZHRwYUs0QlhtVWlObGFnYXRTWXBrQmkzNUo5QURuc01wOTFOVlVFenEwV3BwQm1Ud0d5YXF4cGNKMHh2ZDZ1SkY4S0JaVzBuS1F5ZndDZTBjR0hIOUZaRFVSMC1CNWsybWY3dHJOakJ4WFFvcGFhM3FaMzduSC1DLWQ3bDlrVlVTM29CMUdtYThWRHFoWHpQWGFVaDNWUFNyQ0tEYTdKbi1Id284MmU5UkYtbURxd0ZNZWN5VHZZR1kwanB1dWRCbGc?oc=5,Ping An Bank,"China’s Ping An sells US$50 million in HSBC shares after protest vote - South China Morning Post. <a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxNSUd4YkdGWm91QVJWM0xULU90OFBWd2p0UDVuU1BLanNzQ1RmNVQycnhiOEo2WGRsVkxaajNVeXdOTVRyUFY0WFRPTGpFR2dhcVplUGpzMUV4Ty16dThleTdoYUJMZlVpLUFGTUJfZjd5NmZZRV9oYVoyaWUxVXBuWV9Zc0FGRGs1VDFPYzVGMWNOSU9WMV9qRFBGSll2Q3RoWmlEcDFud1Y4WG5zWk1yM0ZONWdvWFpHdW9TTHcxVVNuS2hiTWlQNVEwcFZfX01RLUpkRXNlcENGcDJFSm5uOG8wNVYwbjRFbGF2V3hR0gHuAUFVX3lxTE5iREZ3aTVPT0xmQVNGNjZQTjhpZldGcEMwa2VjRnZjNVpOeWdmZHRwYUs0QlhtVWlObGFnYXRTWXBrQmkzNUo5QURuc01wOTFOVlVFenEwV3BwQm1Ud0d5YXF4cGNKMHh2ZDZ1SkY4S0JaVzBuS1F5ZndDZTBjR0hIOUZaRFVSMC1CNWsybWY3dHJOakJ4WFFvcGFhM3FaMzduSC1DLWQ3bDlrVlVTM29CMUdtYThWRHFoWHpQWGFVaDNWUFNyQ0tEYTdKbi1Id284MmU5UkYtbURxd0ZNZWN5VHZZR1kwanB1dWRCbGc?oc=5"" target=""_blank"">China’s Ping An sells US$50 million in HSBC shares after protest vote</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South China Morning Post</font>",neutral,-0.040730577
2024-05-13,2024-05-13T07:00:00+00:00,000001.SZ,"""000001"" - Google News",Revisit Robert Pattinson’s Cover Story for Another Man - anothermag.com,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOVnVDYVhEbmM1M25NTjdiT3dVclVhb05PRE1laGpCV2FkRDduc2d4VWFqSE1JVjZERUdLNzRYOC01blVrc0RROHE5eTlsMTZPamJEc1lOekdMZnJqM081Yk0zUVhWaWFqbjllMlNiN3pTRzNBWG1oUEZkd2xfTXEzQU1pbW5YcEdhNVduc0lHQWV6VndMM2xsa2JhSWNkR0U2bWN5V1p5VnZaeXRaS25CRThSZmpRYVdab0FB?oc=5"" target=""_blank"">Revisit Robert Pattinson’s Cover Story for Another Man</a>&nbsp;&nbsp;<font color=""#6f6f6f"">anothermag.com</font>",https://news.google.com/rss/articles/CBMiuwFBVV95cUxOVnVDYVhEbmM1M25NTjdiT3dVclVhb05PRE1laGpCV2FkRDduc2d4VWFqSE1JVjZERUdLNzRYOC01blVrc0RROHE5eTlsMTZPamJEc1lOekdMZnJqM081Yk0zUVhWaWFqbjllMlNiN3pTRzNBWG1oUEZkd2xfTXEzQU1pbW5YcEdhNVduc0lHQWV6VndMM2xsa2JhSWNkR0U2bWN5V1p5VnZaeXRaS25CRThSZmpRYVdab0FB?oc=5,000001,"Revisit Robert Pattinson’s Cover Story for Another Man - anothermag.com. <a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOVnVDYVhEbmM1M25NTjdiT3dVclVhb05PRE1laGpCV2FkRDduc2d4VWFqSE1JVjZERUdLNzRYOC01blVrc0RROHE5eTlsMTZPamJEc1lOekdMZnJqM081Yk0zUVhWaWFqbjllMlNiN3pTRzNBWG1oUEZkd2xfTXEzQU1pbW5YcEdhNVduc0lHQWV6VndMM2xsa2JhSWNkR0U2bWN5V1p5VnZaeXRaS25CRThSZmpRYVdab0FB?oc=5"" target=""_blank"">Revisit Robert Pattinson’s Cover Story for Another Man</a>&nbsp;&nbsp;<font color=""#6f6f6f"">anothermag.com</font>",neutral,-0.05494926
2024-05-17,2024-05-17T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News","Top HSBC shareholder Ping An will retain investment in bank, source says, amid sale talk - Reuters","<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOQ1o4dlFfcjNPbzhLekhHcjI5YVBhS3Vha3JuMnlGOER5WnVkRzRCRlpLQWhZWEZ0V3dJRG9kZDhkMGNBaDBGbTRxX0dNZHZOQk5yejM4WU82X0tOZnNDYnFTZzRhdWg1WEtDLXNjN0ZSQXFDQXNpQTFneHJhQWkzNFhpLWcyTmdNVEpRWC1DZ0h1U1JCd1JmWDM1elJyOXdIU0lzSDRyeGctY2pVSGgxM3NRdWxJbXgtMHllY0UxNk51dUVobWl0VUE1Yw?oc=5"" target=""_blank"">Top HSBC shareholder Ping An will retain investment in bank, source says, amid sale talk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMiywFBVV95cUxOQ1o4dlFfcjNPbzhLekhHcjI5YVBhS3Vha3JuMnlGOER5WnVkRzRCRlpLQWhZWEZ0V3dJRG9kZDhkMGNBaDBGbTRxX0dNZHZOQk5yejM4WU82X0tOZnNDYnFTZzRhdWg1WEtDLXNjN0ZSQXFDQXNpQTFneHJhQWkzNFhpLWcyTmdNVEpRWC1DZ0h1U1JCd1JmWDM1elJyOXdIU0lzSDRyeGctY2pVSGgxM3NRdWxJbXgtMHllY0UxNk51dUVobWl0VUE1Yw?oc=5,Ping An Bank,"Top HSBC shareholder Ping An will retain investment in bank, source says, amid sale talk - Reuters. <a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOQ1o4dlFfcjNPbzhLekhHcjI5YVBhS3Vha3JuMnlGOER5WnVkRzRCRlpLQWhZWEZ0V3dJRG9kZDhkMGNBaDBGbTRxX0dNZHZOQk5yejM4WU82X0tOZnNDYnFTZzRhdWg1WEtDLXNjN0ZSQXFDQXNpQTFneHJhQWkzNFhpLWcyTmdNVEpRWC1DZ0h1U1JCd1JmWDM1elJyOXdIU0lzSDRyeGctY2pVSGgxM3NRdWxJbXgtMHllY0UxNk51dUVobWl0VUE1Yw?oc=5"" target=""_blank"">Top HSBC shareholder Ping An will retain investment in bank, source says, amid sale talk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",neutral,0.33227158
2024-05-17,2024-05-17T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google 新闻",Ping An Asset Says HSBC Is ‘Long-Term Investment’ After Report Parent Is Mulling Ways to Pare Stake - Yicai Global,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPQURJWDFIbC0yVzVTN2Jrd0VrQTVNdEU4Y1Z5V0gxZU5BREpMdFJBYkt3R0w2RFdtSnlMMy1Hb20td3FBaUtFN3N2V0liT3hGU0wxbm9McXFzWmlZOExPRzNrRVh6ZlQyVW5FNTFlRHZHcWlvSXlRdkpnTS13Umg5WHJJa2sxVllTYjM0ZlJFdmpJeDRvNE4taDFQR1NKUnBicFg5OFFRamVQRVRTUDZEZFY0QjFsMXZSS0VnYVd1WUtNQzBmVmtpcG16bTE?oc=5"" target=""_blank"">Ping An Asset Says HSBC Is ‘Long-Term Investment’ After Report Parent Is Mulling Ways to Pare Stake</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yicai Global</font>",https://news.google.com/rss/articles/CBMizAFBVV95cUxPQURJWDFIbC0yVzVTN2Jrd0VrQTVNdEU4Y1Z5V0gxZU5BREpMdFJBYkt3R0w2RFdtSnlMMy1Hb20td3FBaUtFN3N2V0liT3hGU0wxbm9McXFzWmlZOExPRzNrRVh6ZlQyVW5FNTFlRHZHcWlvSXlRdkpnTS13Umg5WHJJa2sxVllTYjM0ZlJFdmpJeDRvNE4taDFQR1NKUnBicFg5OFFRamVQRVRTUDZEZFY0QjFsMXZSS0VnYVd1WUtNQzBmVmtpcG16bTE?oc=5,Ping An Bank,"Ping An Asset Says HSBC Is ‘Long-Term Investment’ After Report Parent Is Mulling Ways to Pare Stake - Yicai Global. <a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPQURJWDFIbC0yVzVTN2Jrd0VrQTVNdEU4Y1Z5V0gxZU5BREpMdFJBYkt3R0w2RFdtSnlMMy1Hb20td3FBaUtFN3N2V0liT3hGU0wxbm9McXFzWmlZOExPRzNrRVh6ZlQyVW5FNTFlRHZHcWlvSXlRdkpnTS13Umg5WHJJa2sxVllTYjM0ZlJFdmpJeDRvNE4taDFQR1NKUnBicFg5OFFRamVQRVRTUDZEZFY0QjFsMXZSS0VnYVd1WUtNQzBmVmtpcG16bTE?oc=5"" target=""_blank"">Ping An Asset Says HSBC Is ‘Long-Term Investment’ After Report Parent Is Mulling Ways to Pare Stake</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yicai Global</font>",neutral,0.07370042
2024-05-24,2024-05-24T07:00:00+00:00,000001.SZ,"""Ping An Bank"" - Google News",Ping An Bank’s “Pocket Manager” recognised as Best Business Ecosystem Initiative - The Asian Banker,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPZmo3WE5zdlNIRDkza3VNeExwYV93cEFtb0N6U1d0YWJZTjMxbGtYd0FBNzVxVWU1Vmg5TV84V1FZRTE5RVV4QUFiVkVoeXY1ZWdnRDlWcmxLNGpmbmhPTmRRQl91NXVqSlZvR19taXJNQnJROXZOLXJfNk80QmlSNmg4ZGxsbDRTZUVEbGNjTzJkOEdLVkkySHQyMW5GYlhQZWJGRHVveDEyWjVfOGNOcXpjcWVhV1E2?oc=5"" target=""_blank"">Ping An Bank’s “Pocket Manager” recognised as Best Business Ecosystem Initiative</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Asian Banker</font>",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPZmo3WE5zdlNIRDkza3VNeExwYV93cEFtb0N6U1d0YWJZTjMxbGtYd0FBNzVxVWU1Vmg5TV84V1FZRTE5RVV4QUFiVkVoeXY1ZWdnRDlWcmxLNGpmbmhPTmRRQl91NXVqSlZvR19taXJNQnJROXZOLXJfNk80QmlSNmg4ZGxsbDRTZUVEbGNjTzJkOEdLVkkySHQyMW5GYlhQZWJGRHVveDEyWjVfOGNOcXpjcWVhV1E2?oc=5,Ping An Bank,"Ping An Bank’s “Pocket Manager” recognised as Best Business Ecosystem Initiative - The Asian Banker. <a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPZmo3WE5zdlNIRDkza3VNeExwYV93cEFtb0N6U1d0YWJZTjMxbGtYd0FBNzVxVWU1Vmg5TV84V1FZRTE5RVV4QUFiVkVoeXY1ZWdnRDlWcmxLNGpmbmhPTmRRQl91NXVqSlZvR19taXJNQnJROXZOLXJfNk80QmlSNmg4ZGxsbDRTZUVEbGNjTzJkOEdLVkkySHQyMW5GYlhQZWJGRHVveDEyWjVfOGNOcXpjcWVhV1E2?oc=5"" target=""_blank"">Ping An Bank’s “Pocket Manager” recognised as Best Business Ecosystem Initiative</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Asian Banker</font>",positive,0.85187757
2024-06-05,2024-06-05T07:00:00+00:00,000001.SZ,"""000001"" - Google News",Serial numbers to look out for on new King Charles bank notes that could be worth a fortune - LADbible,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOR1VudHhPal9pQ1pROWwwcXZCQnJuUVZCXzEwQjJicDNjSkNHUzN0OENUeGFlZHRPcGNjd1BsZmJfWkFVVmVWVlJSSzg3U1ZVQVdoVGd0blUyX2d4ODNDRkZqeVBzX0d4Slk2Q1hsYk9RNjdBNWdkZ3VTSFJPZmdpWTdiZHpEMXFseXVIMFJpbFMwdHJiZWFfNUF0QzNySzZLVTB4RmVOVTR5MXZoZkxV?oc=5"" target=""_blank"">Serial numbers to look out for on new King Charles bank notes that could be worth a fortune</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LADbible</font>",https://news.google.com/rss/articles/CBMirwFBVV95cUxOR1VudHhPal9pQ1pROWwwcXZCQnJuUVZCXzEwQjJicDNjSkNHUzN0OENUeGFlZHRPcGNjd1BsZmJfWkFVVmVWVlJSSzg3U1ZVQVdoVGd0blUyX2d4ODNDRkZqeVBzX0d4Slk2Q1hsYk9RNjdBNWdkZ3VTSFJPZmdpWTdiZHpEMXFseXVIMFJpbFMwdHJiZWFfNUF0QzNySzZLVTB4RmVOVTR5MXZoZkxV?oc=5,000001,"Serial numbers to look out for on new King Charles bank notes that could be worth a fortune - LADbible. <a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOR1VudHhPal9pQ1pROWwwcXZCQnJuUVZCXzEwQjJicDNjSkNHUzN0OENUeGFlZHRPcGNjd1BsZmJfWkFVVmVWVlJSSzg3U1ZVQVdoVGd0blUyX2d4ODNDRkZqeVBzX0d4Slk2Q1hsYk9RNjdBNWdkZ3VTSFJPZmdpWTdiZHpEMXFseXVIMFJpbFMwdHJiZWFfNUF0QzNySzZLVTB4RmVOVTR5MXZoZkxV?oc=5"" target=""_blank"">Serial numbers to look out for on new King Charles bank notes that could be worth a fortune</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LADbible</font>",neutral,0.062136643
2024-06-12,2024-06-12T06:53:41+00:00,000001.SZ,"""000001"" - Google News","KL-TRX Corporate Office Tower for Sale @RM165,000,001 By DANIEL LEONG - EdgeProp","<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNUlotcmQxNGdZY0hTSG1tQmlpZjZ1WWExVWxjc1ptVm5wTEVQRzZsNDVIYkRUc1FVdm1rbnVJZUpFR0t3X0cxMlBudnFxRjlodHpRaVdma3kzVjFSNmRGNWVpVHlZNnpBUy1HaFhhTkxFOHpYTDZZRHRLbFBDRGlGSjJQZnd0c1BIazd6Q0NRWmlkaVF6SlJuU1RUMG1idnNrTGdlU1Mwb0hQaFItZUpwWXJhcHRZNHFZd245SWtWN0dIUQ?oc=5"" target=""_blank"">KL-TRX Corporate Office Tower for Sale @RM165,000,001 By DANIEL LEONG</a>&nbsp;&nbsp;<font color=""#6f6f6f"">EdgeProp</font>",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNUlotcmQxNGdZY0hTSG1tQmlpZjZ1WWExVWxjc1ptVm5wTEVQRzZsNDVIYkRUc1FVdm1rbnVJZUpFR0t3X0cxMlBudnFxRjlodHpRaVdma3kzVjFSNmRGNWVpVHlZNnpBUy1HaFhhTkxFOHpYTDZZRHRLbFBDRGlGSjJQZnd0c1BIazd6Q0NRWmlkaVF6SlJuU1RUMG1idnNrTGdlU1Mwb0hQaFItZUpwWXJhcHRZNHFZd245SWtWN0dIUQ?oc=5,000001,"KL-TRX Corporate Office Tower for Sale @RM165,000,001 By DANIEL LEONG - EdgeProp. <a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNUlotcmQxNGdZY0hTSG1tQmlpZjZ1WWExVWxjc1ptVm5wTEVQRzZsNDVIYkRUc1FVdm1rbnVJZUpFR0t3X0cxMlBudnFxRjlodHpRaVdma3kzVjFSNmRGNWVpVHlZNnpBUy1HaFhhTkxFOHpYTDZZRHRLbFBDRGlGSjJQZnd0c1BIazd6Q0NRWmlkaVF6SlJuU1RUMG1idnNrTGdlU1Mwb0hQaFItZUpwWXJhcHRZNHFZd245SWtWN0dIUQ?oc=5"" target=""_blank"">KL-TRX Corporate Office Tower for Sale @RM165,000,001 By DANIEL LEONG</a>&nbsp;&nbsp;<font color=""#6f6f6f"">EdgeProp</font>",neutral,0.061281085
2024-06-25,2024-06-25T05:28:59+00:00,000001.SZ,"""Ping An Bank"" - Google News",Ping An to take control of Shenzhen Development Bank - Asset Publishing and Research,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPUjJlX2hpeGY3bldId00weFliaG45RldBZ0J2X0o0UDZMemREcmxfcFp2QXNGVTYtSF9aYzF1S0l5UnhoTkdDbnZqR2xvRGw0b004c2JOQjZWb3h0T2wxZkgzanZsd0pmSGFFaV9HQ2kySFJxUzhqc25DdzVfeDY2c1J4N3o1Q0s5emZ4WXRvTUxNanVkdWc?oc=5"" target=""_blank"">Ping An to take control of Shenzhen Development Bank</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asset Publishing and Research</font>",https://news.google.com/rss/articles/CBMilgFBVV95cUxPUjJlX2hpeGY3bldId00weFliaG45RldBZ0J2X0o0UDZMemREcmxfcFp2QXNGVTYtSF9aYzF1S0l5UnhoTkdDbnZqR2xvRGw0b004c2JOQjZWb3h0T2wxZkgzanZsd0pmSGFFaV9HQ2kySFJxUzhqc25DdzVfeDY2c1J4N3o1Q0s5emZ4WXRvTUxNanVkdWc?oc=5,Ping An Bank,"Ping An to take control of Shenzhen Development Bank - Asset Publishing and Research. <a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPUjJlX2hpeGY3bldId00weFliaG45RldBZ0J2X0o0UDZMemREcmxfcFp2QXNGVTYtSF9aYzF1S0l5UnhoTkdDbnZqR2xvRGw0b004c2JOQjZWb3h0T2wxZkgzanZsd0pmSGFFaV9HQ2kySFJxUzhqc25DdzVfeDY2c1J4N3o1Q0s5emZ4WXRvTUxNanVkdWc?oc=5"" target=""_blank"">Ping An to take control of Shenzhen Development Bank</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asset Publishing and Research</font>",neutral,0.052116625
2024-06-29,2024-06-29T07:00:00+00:00,000001.SZ,"""000001"" - Google News",King Charles’ new £10 banknote auctioned for £17k - Jang,"<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxON0dZeHdRdWxCZWZXTlczcDhGNGFSa0NRVi1vY1lHYURBaUJjbWVqR1JFcW5PTWFmbUhOY1BTdHAyUksyWkJmakJZTGE1cTE5N2tObEN3WnNKbnNuajhMSG5LR3RkRzc5cU5xcGtHZlB0eUVqNnRtelBDMmJCei1MUV9RdkFSTk0?oc=5"" target=""_blank"">King Charles’ new £10 banknote auctioned for £17k</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jang</font>",https://news.google.com/rss/articles/CBMihwFBVV95cUxON0dZeHdRdWxCZWZXTlczcDhGNGFSa0NRVi1vY1lHYURBaUJjbWVqR1JFcW5PTWFmbUhOY1BTdHAyUksyWkJmakJZTGE1cTE5N2tObEN3WnNKbnNuajhMSG5LR3RkRzc5cU5xcGtHZlB0eUVqNnRtelBDMmJCei1MUV9RdkFSTk0?oc=5,000001,"King Charles’ new £10 banknote auctioned for £17k - Jang. <a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxON0dZeHdRdWxCZWZXTlczcDhGNGFSa0NRVi1vY1lHYURBaUJjbWVqR1JFcW5PTWFmbUhOY1BTdHAyUksyWkJmakJZTGE1cTE5N2tObEN3WnNKbnNuajhMSG5LR3RkRzc5cU5xcGtHZlB0eUVqNnRtelBDMmJCei1MUV9RdkFSTk0?oc=5"" target=""_blank"">King Charles’ new £10 banknote auctioned for £17k</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jang</font>",neutral,0.07853103
2024-07-02,2024-07-02T07:00:00+00:00,000001.SZ,"""000001"" - Google News","King Charles £10 note sells for £17,000 - what you should look for - Ham & High","<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxOR1U0WkFhekFwRFc1R2N4N1JoTUhfaUJndkw1MlNBWGtBWmJHd3NYdUJFLTAzSUhkMFVyR3lZWnR6NjNqSmc3ZE85MmZDUUt4alNWaWRXZXlNSXc2TWdXaldrakRYNmU4RDVKRUVkVkRzbE9oME5UcGdRcEtNUlhFcDRmMjVrcDJ4?oc=5"" target=""_blank"">King Charles £10 note sells for £17,000 - what you should look for</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ham & High</font>",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOR1U0WkFhekFwRFc1R2N4N1JoTUhfaUJndkw1MlNBWGtBWmJHd3NYdUJFLTAzSUhkMFVyR3lZWnR6NjNqSmc3ZE85MmZDUUt4alNWaWRXZXlNSXc2TWdXaldrakRYNmU4RDVKRUVkVkRzbE9oME5UcGdRcEtNUlhFcDRmMjVrcDJ4?oc=5,000001,"King Charles £10 note sells for £17,000 - what you should look for - Ham & High. <a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxOR1U0WkFhekFwRFc1R2N4N1JoTUhfaUJndkw1MlNBWGtBWmJHd3NYdUJFLTAzSUhkMFVyR3lZWnR6NjNqSmc3ZE85MmZDUUt4alNWaWRXZXlNSXc2TWdXaldrakRYNmU4RDVKRUVkVkRzbE9oME5UcGdRcEtNUlhFcDRmMjVrcDJ4?oc=5"" target=""_blank"">King Charles £10 note sells for £17,000 - what you should look for</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ham & High</font>",neutral,0.052070916
